"","species","site","trees","Canopy","dbh","dist","azimuth","easting","northing","A","B","convha","a","b","region","eq","Origin_ref","ref","totAB"
"119","PCRU","HOW1",127,"C",25.1,17.4,14,1462574.763,5079337.069,16.88314564,4.209440983,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",234.756729846953
"120","PCRU","HOW1",114,"C",13.5,9.3,36,1462565.404,5079338.326,7.523858048,5.466402846,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",60.6246066523834
"121","PCRU","HOW2",16,"D",28.1,12.7,89,1462195.462,5079345.558,0.221645562,12.69806573,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",300.369764147832
"122","PCRU","HOW3",71,"C",31.5,18.2,90,1462119.77,50793351.73,1.11489e-15,18.2,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",385.427107782295
"123","PCRU","HOW1",95,"C",25.4,17.5,125,1462547.842,5079347.195,-10.03758764,14.33516078,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",240.925251251541
"124","PCRU","HOW2",86,"C",23.3,7.4,157,1462188.428,5079335.751,-6.811735916,2.891410351,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",199.557609452847
"125","PCRU","HOW1",133,"C",32,28.3,355,1462586.072,5079330.393,28.19230996,-2.46650752,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",398.90797592721
"126","PCRU","HOW2",35,"C",34.3,5.6,329,1462200.04,5079329.976,4.800136884,-2.884213219,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",464.170334863757
"127","PCRU","HOW2",80,"C",12.9,3,110,1462194.214,5079335.679,-1.02606043,2.819077862,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",54.896879018414
"128","PCRU","HOW2",90,"D",36.8,15.4,146,1462182.473,5079341.472,-12.76717862,8.611570713,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",541.222826903007
"129","PCRU","HOW1",137,"C",31.1,24.1,45,1462574.921,5079349.901,17.04127343,17.04127343,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",374.823012159753
"130","PCRU","HOW1",111,"C",15.5,10.8,110,1462554.186,5079343.009,-3.693817548,10.1486803,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",81.9642396186231
"131","PCRU","HOW2",70,"C",31.4,15.8,263,1462193.314,5079317.178,-1.925535626,-15.6822292,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",382.761051452371
"132","PCRU","HOW2",94,"C",36,6.9,115,1462192.324,5079339.114,-2.916066006,6.253523731,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",515.868103973714
"133","PCRU","HOW2",68,"D",27.3,17.3,235,1462185.317,5079318.689,-9.922872349,-14.17133037,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",282.015757937005
