"","species","site","trees","meanRW","year","rACUM","rACUM.inv","Canopy","dbh","dist","azimuth","easting","northing","A","B","convha","a","b","region","eq","Origin_ref","ref","dbhest1","dbhest2","AB","annAB","annAB.ha"
"69","ACRU","HOW1",117,0.603,1975,25.317,23.4915,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",9.6811,9.8017,28.8903778325623,0.838978842769126,6.67638149881123
"70","ACRU","HOW1",117,0.3845,1949,10.017,38.7915,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",6.6648,6.7417,11.8539226525464,0.319331143582667,2.54115649921846
"71","ACRU","HOW1",117,0.5695,2003,41.989,6.8195,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",13.0222,13.1361,58.003858275234,1.19003603255936,9.47000585196448
"72","ACRU","HOW1",117,0.49,2005,43.023,5.7855,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",13.2449,13.3429,60.2011801728481,1.04719044768827,8.33327680541012
"73","ACRU","HOW1",117,0.1715,1937,5.175,43.6335,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",5.739,5.7733,8.19508274956009,0.115422402156405,0.918502292336627
"74","ACRU","HOW1",117,0.364,1939,5.8015,43.007,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",5.8258,5.8986,8.62482212513112,0.251230889754271,1.99923189808836
"75","ACRU","HOW1",117,0.6115,2000,40.255,8.5535,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",12.667,12.7893,54.4248721604597,1.23070688427538,9.79365420648259
"76","ACRU","HOW1",117,0.5635,2001,40.8185,7.99,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",12.7893,12.902,55.5734510858627,1.14857892540293,9.14010067545271
"77","ACRU","HOW1",117,0.544,2004,42.533,6.2755,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",13.1361,13.2449,59.1539897251598,1.15013144992587,9.15245527305751
"78","ACRU","HOW1",117,0.477,1960,15.782,33.0265,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",7.7993,7.8947,17.2614427368661,0.492388609439737,3.91830405572394
